variable,time_start,time_end,time_steps,latitude_points,longitude_points,global_mean,global_std,gom_mean,gom_std,units
lwe_thickness,2018-06-16,2026-02-15,91,180,360,-0.000878,0.052492,0.021309,0.013983,m
uncertainty,2018-06-16,2026-02-15,91,180,360,0.01323,0.00203,0.013208,0.001961,m
