variable,time_start,time_end,time_steps,latitude_points,longitude_points,mean,std,min,max,units
sla,1993-01-01,2024-12-31,11688,56,64,0.046876,0.080826,-0.575,0.8767,m
adt,1993-01-01,2024-12-31,11688,56,64,-0.060402,0.083327,-0.6836,0.7456,m
