station,status,gia_rate_mm_yr,time_start,time_end,time_steps,rmse_m,mae_m,bias_m,residual_std_m,correlation,r_squared,residual_trend_mm_yr,intercept_m,beta_copernicus_sla_m_per_std,beta_grace_hist_mass_m_per_std,beta_greenland_mass_m_per_std
Portland,modeled,1.1,2002-04-01,2017-06-01,159,0.04739642486209017,0.038203082184307076,5.02742501717052e-17,0.04739642486209016,0.6672553436161791,0.44521398062385165,0.5453560428072383,0.08148824943494914,0.05733547304928316,0.0020526773052992877,0.0015762201760214645
Bar Harbor,modeled,1.3,2002-04-01,2017-06-01,159,0.037685981471481854,0.030506539646601664,4.329171542563504e-17,0.037685981471481854,0.6853240070415245,0.4696190093873063,0.56145670767228,0.06592941872293157,0.04049067681929497,-0.00244375124589102,-0.020388978738362235
Rockland,excluded_no_modern_overlap,1.2,,,0,,,,,,,,,,,
